Size, BubbleSort, InsertionSort, QuickSort, MergeSort
100, 0.012720, 0.004780, 0.002430, 0.002590
200, 0.069890, 0.018380, 0.005730, 0.007650
300, 0.132330, 0.027370, 0.006570, 0.008830
400, 0.210520, 0.055340, 0.008440, 0.013260
500, 0.317300, 0.068640, 0.013030, 0.015810
600, 0.470460, 0.096480, 0.013180, 0.020920
700, 0.598560, 0.127670, 0.015090, 0.030740
800, 0.759860, 0.148290, 0.016770, 0.037400
900, 0.921150, 0.196120, 0.020790, 0.044370
1000, 1.148280, 0.277760, 0.020360, 0.055610
1100, 1.372060, 0.287160, 0.027500, 0.060620
1200, 1.589060, 0.474880, 0.064880, 0.074840
1300, 2.335500, 0.416640, 0.046780, 0.082140
1400, 2.341180, 0.473860, 0.058160, 0.100120
1500, 2.569680, 0.548980, 0.063730, 0.101690
1600, 2.990940, 0.580120, 0.071870, 0.102490
1700, 3.284640, 0.709300, 0.083540, 0.128020
1800, 3.652980, 0.785200, 0.114970, 0.131140
1900, 3.976240, 0.872400, 0.090970, 0.130160
2000, 4.137580, 0.871340, 0.101460, 0.134670
2100, 4.758400, 1.030540, 0.114840, 0.149060
2200, 5.231080, 1.105360, 0.122560, 0.148360
2300, 5.564300, 1.137280, 0.113660, 0.162240
2400, 6.524120, 1.342380, 0.132120, 0.171360
2500, 6.469380, 1.497200, 0.170140, 0.186380
2600, 7.340220, 1.474440, 0.175220, 0.181780
2700, 8.224060, 1.644200, 0.153120, 0.201440
2800, 8.295740, 1.660300, 0.166240, 0.202660
2900, 9.241720, 1.884560, 0.193480, 0.225340
3000, 9.905020, 1.992220, 0.197040, 0.229780
3100, 10.008720, 2.111880, 0.193880, 0.227220
3200, 11.130840, 2.324140, 0.237140, 0.250960
3300, 11.813740, 2.474220, 0.214720, 0.253040
3400, 12.941840, 2.503040, 0.222280, 0.265840
3500, 13.776880, 2.861620, 0.236200, 0.283900
3600, 13.818580, 2.765900, 0.292880, 0.295060
3700, 15.197600, 2.942840, 0.261220, 0.309240
3800, 15.694120, 3.089440, 0.271140, 0.319620
3900, 16.295780, 3.232040, 0.268700, 0.309820
4000, 17.082940, 3.464740, 0.262960, 0.324480
4100, 17.888820, 3.558140, 0.297540, 0.324760
4200, 18.364120, 3.624660, 0.325880, 0.358300
4300, 19.003060, 3.893460, 0.301460, 0.349700
4400, 20.784220, 4.158780, 0.292440, 0.356840
